"id","kod","isim","hacim","cinsi","ucret"
68,5449000167071,"BURN BERRY KARISIK MEYVE 250ML","0.25","METAL","0.4907113123978769"
69,5449000066015,"BURN ENERJI ICECEGI 250 ML","0.25","METAL","0.27267004425073715"
70,5449000159014,"BURN ENERJI ICECEGI 250 ML BLUE","0.25","METAL","0.7026827092413312"
71,5449000131768,"BURN ENERJI ICECEGI 500 ML","0.5","METAL","0.8383694433931764"
72,8699878420021,"BUZDAGI SU 0.5 LT","0.5","PLASTIC","0.5052514836691684"
73,8699878420038,"BUZDAGI SU 1.5 LT","1.5","PLASTIC","0.33229964620120755"
74,8699878420014,"BUZDAĞ BARDAK SU","0.18","PLASTIC","0.026944698929287192"
75,8690504519119,"GLASSLICA 1.5 LT PORTAKALLI","1.5","PLASTIC","0.8870840249996299"
76,8690504518600,"GLASSLICA 250 ML LIMONLU SISE","0.25","GLASS","0.3377416047760632"
77,8690504519072,"GLASSLICA 250 ML PORTAKALLI SISE","0.25","GLASS","0.2376583132636989"
78,8690504519102,"GLASSLICA 250 ML PORTAKALLI SISE","0.25","GLASS","0.4427332995298606"
79,8690504519157,"GLASSLICA 330 ML PORTAKALLI KUTU","0.33","METAL","0.63535574725854"
80,8690504525110,"GLASSLICA GAZOZ 1 LT","1","PLASTIC","0.6029763575057773"
81,8690504525318,"GLASSLICA GAZOZ 1 LT LIGHT","1","PLASTIC","0.39899493768801486"
82,8690504525127,"GLASSLICA GAZOZ 1.5 LT","1.5","PLASTIC","0.4276446136177171"
83,8690504525219,"GLASSLICA GAZOZ 250 ML LIGHT SISE","0.25","GLASS","0.5966366966780168"
84,8690504525011,"GLASSLICA GAZOZ 250 ML SISE","0.25","GLASS","0.6446631300325126"
85,8690504525042,"GLASSLICA GAZOZ KUTU 330 ML","0.33","METAL","0.445923892885861"
86,5449000206718,"CAPPY FRUTOPIA 200 ML KARISIK","0.2","METAL","0.8611174204311637"
87,5449000206695,"CAPPY FRUTOPIA SEFTALI 200ML","0.2","METAL","0.23458240395794627"
88,5449000207777,"CAPPY GELENEKSEL LIMONATA 1L","1","PLASTIC","0.2853246120966184"
89,5449000114792,"CAPPY HOSAF","1","PLASTIC","0.30051763910670515"
90,90331978,"CAPPY KARISIK 250 ML SISE","0.25","GLASS","0.5074197429752014"
91,5449000085986,"CAPPY KUTU 330 ML. ÇİLEKLİ","0.33","METAL","0.672585987704561"
92,5449000115225,"CAPPY KUTU 330 ML. KOKTEYL","0.33","METAL","0.7326233218539203"
93,5449000152572,"CAPPY MEYVE SUYU 1 LT PULPY LIMONATA","1","PLASTIC","0.2747731014212995"
94,5449000030207,"CAPPY MEYVE SUYU 1 LT PULPY MANDALINA","1","PLASTIC","0.5988046054153802"
95,5449000147417,"CAPPY MEYVE SUYU 1 LT PULPY PORTAKAL","1","PLASTIC","0.5372750539923175"
96,5449000200136,"CAPPY MEYVE SUYU 330 ML ATOM","0.33","METAL","0.6092995116062617"
97,5449000046048,"CAPPY MEYVE SUYU 330 ML KARISIK","0.33","METAL","0.2952775294207364"
98,5449000021601,"CAPPY MEYVE SUYU 330 ML KAYISI","0.33","METAL","0.07561343405948584"
99,5449000108982,"CAPPY MEYVE SUYU 330 ML KAYISI","0.33","METAL","0.30148972795375595"
100,5449000051769,"CAPPY MEYVE SUYU 330 ML PORTAKAL","0.33","METAL","0.6601163043920932"
